UNITID,GR_Source,Adj6yrGrad,Adj6yrAAH,6yrGrad,6yrAAH,6yrAA,6yrH,Xfer,XferAAH,XferAA,XferH
224660,2014-2016,N/A,N/A,0.62,0.6,0.44,0.62,N/A,N/A,N/A,N/A
224679,2014-2016,N/A,N/A,0.52,0.53,0.36,0.54,N/A,N/A,N/A,N/A
224712,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
224776,2014-2016,0.28,0.28,0.28,0.28,0.19,0.35,N/A,N/A,N/A,N/A
224891,2014-2016,0.41,0.34,0.26,0.24,0.18,0.28,0.3,0.2,0.27,0.16
224961,2014-2016,0.36,0.37,0.26,0.29,0.32,0.28,0.21,0.16,0.09,0.19
225070,2016,0.25,0.19,0.18,0.13,0.09,0.16,0.15,0.11,0.13,0.1
225201,2014-2016,0.28,0.37,0.28,0.37,0.5,0.33,N/A,N/A,N/A,N/A
225247,2014-2016,0.52,0.44,0.52,0.44,0.39,0.46,N/A,N/A,N/A,N/A
225308,2016,0.27,0.28,0.17,0.11,0.12,0.1,0.19,0.33,0.34,0.33
225371,2014-2016,0.31,0.29,0.2,0.18,0.13,0.2,0.22,0.22,0.24,0.21
225399,2014-2016,0.41,0.32,0.41,0.32,0.27,0.35,N/A,N/A,N/A,N/A
225432,2016,0.16,0.16,0.16,0.16,0.12,0.18,0.49,0.49,0.53,0.47
225502,2016,0.18,0.15,0.18,0.15,0.1,0.17,N/A,N/A,N/A,N/A
225520,2014-2016,0.3,0.28,0.21,0.2,0.11,0.21,0.17,0.15,0.2,0.14
225548,2014-2016,0.43,0.3,0.43,0.3,0.16,0.38,N/A,N/A,N/A,N/A
225575,2016,0.22,0.36,0.22,0.21,0.2,0.22,N/A,N/A,N/A,N/A
225627,2014-2016,0.51,0.49,0.51,0.49,0.37,0.5,N/A,N/A,N/A,N/A
225779,2014-2016,N/A,N/A,0.82,0.84,0.82,0.84,N/A,N/A,N/A,N/A
225788,2014-2016,N/A,N/A,0.88,0.9,0.5,0.91,N/A,N/A,N/A,N/A
225849,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
225858,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
225876,2014-2016,N/A,N/A,0.23,0.23,0.19,0.27,N/A,N/A,N/A,N/A
225991,2014-2016,N/A,N/A,0.69,0.68,0.72,0.62,N/A,N/A,N/A,N/A
226019,2016,0.35,0.31,0.25,0.2,0.16,0.27,0.21,0.23,0.27,0.16
226091,2016,0.33,0.26,0.33,0.26,0.23,0.45,0.34,0.39,0.42,0.24
226107,2014-2016,0.24,0.17,0.17,0.12,0.06,0.25,0.13,0.1,0.08,0.13
226116,2014-2016,0.34,0.32,0.23,0.24,0.15,0.32,0.22,0.18,0.14,0.21
226134,2016,0.24,0.23,0.18,0.18,1,0.17,0.12,0.12,0,0.12
226152,2014-2016,0.42,0.42,0.42,0.42,0.33,0.42,N/A,N/A,N/A,N/A
226204,2014-2016,0.38,0.37,0.28,0.26,0.28,0.26,0.21,0.21,0.25,0.19
226231,2014-2016,0.53,0.34,0.53,0.34,0.26,0.41,N/A,N/A,N/A,N/A
226277,2014-2016,N/A,N/A,0.67,0.7,0.51,0.78,N/A,N/A,N/A,N/A
226383,2014-2016,0.41,0.21,0.41,0.21,0.13,0.24,0.38,0.44,0.51,0.41
226408,2014-2016,0.27,0.23,0.19,0.18,0.15,0.19,0.15,0.11,0.13,0.1
