College Name,City,State,ZipCode,Selectivity,file_name
Texas Christian University,Fort Worth,TX,76129,HIGHLY COMPETITIVE,searchpage-profile.cfm_1460.html
Texas Lutheran University,Seguin,TX,78155,COMPETITIVE,searchpage-profile.cfm_1462.html
Texas Southern University,Houston,TX,77004,LESS COMPETITIVE,searchpage-profile.cfm_1463.html
Texas Tech University,Lubbock,TX,79409,COMPETITIVE+,searchpage-profile.cfm_1465.html
Texas Wesleyan University,Fort Worth,TX,76105,COMPETITIVE,searchpage-profile.cfm_1466.html
Texas Woman's University,Denton,TX,76204,LESS COMPETITIVE,searchpage-profile.cfm_1467.html
Trinity University,San Antonio,TX,78212,HIGHLY COMPETITIVE+,searchpage-profile.cfm_1468.html
University of Dallas,Irving,TX,75062,VERY COMPETITIVE+,searchpage-profile.cfm_1469.html
University of California at Irvine,Irvine,CA,92697,VERY COMPETITIVE,searchpage-profile.cfm_147.html
University of Houston,Houston,TX,77004,VERY COMPETITIVE,searchpage-profile.cfm_1471.html
University of Houston-Downtown,Houston,TX,77002,COMPETITIVE,searchpage-profile.cfm_1472.html
University of Mary Hardin-Baylor,Belton,TX,76513,COMPETITIVE+,searchpage-profile.cfm_1473.html
University of North Texas,Denton,TX,76203,COMPETITIVE,searchpage-profile.cfm_1474.html
University of St. Thomas - Houston,Houston,TX,77006,VERY COMPETITIVE,searchpage-profile.cfm_1475.html
University of Texas at Arlington,Arlington,TX,76019,LESS COMPETITIVE,searchpage-profile.cfm_1477.html
University of Texas at Austin,Austin,TX,78712,HIGHLY COMPETITIVE,searchpage-profile.cfm_1478.html
University of California at Los Angeles,Los Angeles,CA,90095,MOST COMPETITIVE,searchpage-profile.cfm_148.html
University of Texas at Dallas,Richardson,TX,75080,VERY COMPETITIVE+,searchpage-profile.cfm_1480.html
University of Texas at El Paso,El Paso,TX,79968,NONCOMPETITIVE,searchpage-profile.cfm_1481.html
University of Texas at San Antonio,San Antonio,TX,78249,COMPETITIVE,searchpage-profile.cfm_1482.html
