UNITID,CEEB,ACT,ACI
150774,1309,1203,
150941,1304,1202,
151102,1336,1217,
151111,1325,1214,
151263,1321,1204,
151290,1323,1208,
151306,1335,1207,
151324,1322,1206,
151333,1337,1219,
151342,1339,1225,
151351,1324,1210,
151360,1338,1218,
151379,1314,1229,
151388,1194,1216,
151458,1330,N/A,
151494,7025,N/A,
151500,650,N/A,
151519,640,N/A,
151661,3058,N/A,
151777,1440,1222,
151786,1442,1224,
151801,1446,1226,
151810,1379,N/A,
151944,3140,N/A,
151962,644,1205,
152080,1841,1252,
152099,1585,1228,
152248,1638,1233,
152266,1640,1231,
152318,1668,1232,
152336,1693,1238,
152363,1697,1240,
152381,1704,1242,
152390,1702,1244,
152497,1761,1241,
152530,1802,1248,
152567,1811,1250,
152600,1874,1256,
152637,1877,1258,
152673,1895,1260,
152798,N/A,1273,
152822,7302,1267,
152992,6046,1276,
153001,6047,1278,
153108,6087,1284,
153126,6099,1290,
153144,6101,1294,
153162,6119,1296,
153214,6177,1272,
153241,6174,1286,
153250,6171,1301,
153269,6168,1302,
153278,6869,1358,
153296,N/A,1306,
153302,1215,1371,
153320,6214,1315,
153366,6249,1314,
153375,6251,1316,
153384,6252,1318,
153427,1588,N/A,
153445,6288,1309,
153472,6312,1269,
153524,6217,1312,
153533,6196,1310,
153603,6306,1320,
153621,6308,1324,
153658,6681,1356,
153825,6370,1328,
153834,6375,1330,
153861,4497,1317,
153922,6394,1332,
153977,N/A,1347,
154004,6415,1338,
154013,6417,1340,
154022,6418,1342,
154059,6400,1336,
154095,6307,1322,
154101,6490,1346,
154110,6751,1265,
154129,1359,1375,
154156,1767,N/A,
154174,6593,1349,
154235,6617,1352,
154350,6650,1354,
154378,6048,1280,
154396,6122,1298,
154493,6885,1360,
154518,6925,1362,
154572,6950,1369,
154590,6943,1372,
154642,6305,1424,
154688,6031,1386,
154712,6056,1444,
154721,6034,1388,
154749,6037,1390,
154776,3366,4757,
154794,N/A,1391,
154800,6191,1406,
154855,6088,1394,
154907,6137,1401,
154925,6102,1398,
154934,6129,1399,
154952,6008,1384,
154998,6166,1402,
155007,6167,1404,
155025,6335,1430,
155061,6218,1408,
155070,6228,1411,
155089,6224,1412,
155098,6219,1410,
155104,6246,1414,
155140,N/A,1415,
155177,6274,1416,
155186,6276,1418,
155195,6281,1420,
155201,6304,1422,
155210,6325,1425,
155292,6333,1426,
155308,5937,1478,
155317,6871,1470,
155335,6615,1452,
155399,6334,1428,
155414,6337,1434,
155450,6576,1448,
155496,6392,1436,
155511,6404,1440,
155520,6437,1445,
155566,6093,1396,
155593,N/A,1451,
155618,N/A,5574,
155627,6547,1446,
155681,6336,1449,
155715,6581,1450,
155812,6630,1458,
155858,286,1439,
155900,6670,1464,
155937,6684,1466,
155973,6815,1468,
156082,6928,1474,
156125,6884,1472,
156189,1098,1502,
156213,1019,1486,
156231,703,1564,
156286,1056,1490,
156295,1060,1492,
156356,1071,1498,
156365,1097,1500,
156408,1109,1506,
156541,1145,1510,
156620,1200,1512,
156648,1211,1513,
156745,1249,1514,
156790,815,1572,
156851,1307,1557,
156860,1274,1569,
156903,669,N/A,
156921,1328,1571,
157021,987,N/A,
157030,1384,N/A,
157058,1368,1516,
157076,1369,1518,
157085,1837,1554,
157100,1377,1523,
157207,N/A,1525,
157216,1409,1522,
157270,1501,N/A,
157289,1838,1556,
157304,1606,1533,
157331,693,1527,
157377,1467,1528,
157386,1487,1530,
157401,1494,1532,
157447,1574,1566,
157483,1620,1538,
157553,869,1541,
157632,1690,1542,
157696,N/A,1505,
157711,1779,1570,
157739,1770,1555,
157757,1552,1534,
157793,811,5535,
157809,1876,1560,
157818,1808,1550,
157863,1825,1552,
157951,1901,1562,
